"Food_Category","Weight","impact_1","impact_2","impact_3","impact_4","impact_5","impact_6"
"Almond milk",0.997,0.0370761724826082,0.179146509378652,0.149997162747846,7505.55185929261,0.0297564510286638,0.129812397249278
"Animal Fats",1.002,1.65642115768463,1.28402195608782,8.21530239520958,6204.42704291417,0.212533327487641,0.15885390241517
"Apples",0.998,0.0656703406813627,0.0436182364729459,0.112323647294589,228.626823647295,0.00202049985480962,0.00212860203362057
"Bananas",1.001,0.262898101898102,0.0821328671328672,0.336166833166833,14.3753156843157,0.000304687269230769,0.00339905195775891
"Barley (Beer)",1.004,0.0697490039840638,0.107872509960159,0.214395418326693,156.038962151394,0.00120133119010624,0.00200148151408367
"Beet Sugar",0.992,0.144809475806452,0.183753024193548,0.48928125,1191.69544858871,0.00460680060223858,0.0217935221248737
"Berries & Grapes",0.993,0.409935548841893,0.17391641490433,0.331404833836858,1465.7470020141,3.53617678247734e-05,0.00333725060679758
"Bovine Meat (beef herd)",0.989,51.6874994944388,15.2585834175935,29.188353892821,4075.8236966633,3.44979449593178,0.942285441152309
"Bovine Meat (dairy herd)",0.973,9.93117780061665,4.80849023638232,71.3293741007194,9130.26071839671,2.01801515918176,0.865207235674169
"Brassicas",0.994,0.101782696177062,0.0873943661971831,0.409822937625754,2023.35725955734,0.00124995063134675,0.0211485563129618
"Butter, Cream & Ghee",0.996,0.38738453815261,0.377560240963855,1.16164759036145,631.625403614458,0.110150597248611,0.0135178367019411
"Cane Sugar",1.005,0.208819900497512,0.183979104477612,1.73969751243781,1095.61768756219,0.00410115416975124,0.0152151492681592
"Cassava",1,0.0935,0.0315,0.066,0,0.00072990315,0.00160438023333333
"Cereals & Oilcrops Misc.",1.006,0.34970577430754,0.119442307975385,0.559529517199902,743.186057277058,0.00599823248538329,0.0164567890555379
"Cheese",0.999,3.67664864864865,3.1072002002002,10.6037127127127,5819.4364034034,0.890005444560827,0.114674989570387
"Citrus Fruit",0.997,0.0660200601805416,0.0447552657973922,0.157786359077232,771.720504513541,0.0005374035440555,0.00676699470321525
"Coffee",0.996,1.92159638554217,3.04386646586345,11.5065863453815,43.1865542168675,0.317572397904384,0.337185681675619
"Crustaceans",1.011,0.188466864490603,2.10391295746785,21.4746607319486,12073.6358565776,0.168484786450824,0.108380848704402
"Dark Chocolate",1.002,6.71049401197605,4.20008882235529,7.43749500998004,74.9644251497006,0.802990980471377,0.940634330479281
"Dark Chocolate (70% cocoa)",1.002,4.75689949720746,3.04315117201086,5.66566641539609,90.5341077239372,0.581802682440727,0.681531411906302
"Eggs",1.006,0.604923459244533,0.371987077534791,1.79445725646123,3080.03734493042,0.0547165604928264,0.0714070149654904
"Fish",0.997,1.13765496489468,1.85383650952859,12.618112337011,8338.0371885657,0.25155904833233,0.125482627022718
"Groundnuts",1.004,0.942528884462152,0.369267928286853,1.46601892430279,9748.97787848605,0.00720399253537517,0.0338419621450199
"Lamb & Mutton",1,4.366,3.0905,2.3505,99.528,2.094256424975,0.2872836956
"Maize (Meal)",0.994,0.206667002012072,0.096407444668008,0.397187122736418,716.191661971831,0.0045422316191717,0.0231101062901543
"Milk",0.996,0.38738453815261,0.377560240963855,1.16164759036145,631.625403614458,0.110150597248611,0.0135178367019411
"Milk Chocolate",1.002,4.11054470510239,2.10679696512087,4.95167838736554,212.242450028703,0.402786472436516,0.471829438985758
"Nuts",0.997,0.968063189568706,0.110047141424273,1.91125877632899,31135.5460391174,0.0182789627662487,0.0797419011303243
"Oat milk",1.003,0.0546529411764706,0.0467378107537262,0.14802707798312,83.2819285144566,0.0045074085667882,0.0107427691537766
"Oatmeal",1.003,0.546529411764706,0.128788634097707,1.02451744765703,832.819285144566,0.0124204147193752,0.0296022972285145
"Oils Misc.",0.998,0.857321643286573,0.350284569138277,1.88546793587174,202.363698396794,0.0168073282615564,0.0582875011723681
"Olive Oil",1.006,2.16356163021869,0.51936282306163,3.40954671968191,11747.800389662,0.0815150205044235,0.100046723157207
"Olives",1.006,0.454347942336838,0.0947789240320134,0.498858961272317,1672.25972882994,0.0148757392574092,0.0182576040346337
"Onions & Leeks",0.996,0.038,0.0510451807228916,0.346143574297189,67.1867851405623,2.52129733366801e-05,0.0060178854493663
"Other Fruit",0.994,0.0882676056338028,0.133357142857143,0.215328973843058,725.343654929577,0.000303876472820255,0.00955963894681422
"Other Pulses",0.996,1.66454518072289,0.171791164658635,2.04278614457831,168.73915060241,0.00430883690980589,0.0249642012657965
"Other Vegetables",1.002,0.0445069860279441,0.0683313373253493,0.184184630738523,703.518487025948,0.000866403054141717,0.00815095027561544
"Palm Oil",0.999,0.256068068068068,0.582075075075075,1.0713043043043,1.71541641641642,0.127363231868835,0.195676213986687
"Pasta",1.006,0.486188882351287,0.116885438958605,0.949853060322805,1460.48524641904,0.005869829953171,0.016104503045957
"Peas",1.005,0.67301592039801,0.10095223880597,1.24957313432836,2633.20267562189,0.0096218790421393,0.014485521577728
"Pig Meat",1.002,1.65642115768463,1.28402195608782,8.21530239520958,6204.42704291417,0.212533327487641,0.15885390241517
"Potatoes",0.986,0.093183569979716,0.043052738336714,0.369839756592292,168.543527383367,0.000883544682302231,0.00519855292763692
"Poultry Meat",1.014,0.9797741617357,1.01644378698225,3.98947830374753,1387.01341420118,0.0476848981936555,0.0630096161305556
"Rapeseed Oil",0.998,0.857321643286573,0.350284569138277,1.88546793587174,202.363698396794,0.0168073282615564,0.0582875011723681
"Rice",1.003,0.289229312063809,0.461391824526421,3.06791525423729,4825.4236111665,0.00482319685252576,0.0237613657343137
"Rice milk",1.003,0.0347075174490453,0.124420267299207,0.410516700882944,579.050833363142,0.001300637353607,0.00640755929971674
"Root Vegetables",0.999,0.038002002002002,0.0387837837837838,0.170052052052052,16.0768908908909,0.00128453792081748,0.00438117563102769
"Salt",0.01,0,0,0,0,0,0
"Soybean Oil",0.993,0.880804632426989,0.631170191339376,1.26730412890232,12.27144612286,0.0167363090415072,0.0275787755456865
"Soymilk",0.999,0.0496636636636637,0.0967327327327327,0.113861861861862,3.12468568568569,0.00110766804868535,0.00163730374980314
"Sunflower Oil",1.009,1.95279088206145,0.367354806739346,9.01965609514371,67.7304420218038,0.00494746575606211,0.0155839218661711
"Sunflower seeds",1.009,1.11588050403511,0.198254975116029,5.13577620783319,37.7047161835112,0.0026700608849021,0.00841037053308546
"Tea",1,2.812939522,2.1,8.135015773,50.87531574,0.7,0.7
"Tofu",0.999,0.26736036036036,0.310833833833834,0.625168168168168,16.6952782782783,0.00595585404738071,0.0107892415385435
"Tomatoes",1.001,0.0902857142857143,0.227126873126873,0.609387612387613,514.236942057942,0.00138959755144639,0.01820616437343
"Water",0.01,0,0,0,0,0,0
"Wheat & Rye (Bread)",1.006,0.396573558648111,0.114693836978131,0.716037773359841,1229.67723558648,0.00575977064154904,0.0158025436138453
"Wine",1.005,0.187347263681592,0.183251741293532,0.464503482587065,114.519972139304,0.00127738321338308,0.00403381187761393
